,炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),错误（钒铁(FeV50-B)）,钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C采收率
12,7A06866             ,低合金    ,HRB400B    ,1670.0,0.00072,0.0015,0.00027,0.00033,0.004,74200.0,0.0023,0.0135,0.00028,0.00027,0.0037,0.467,0.0021,0.006,0.011,,0.033,0.0055,0.0033,0.0025,0.0,,,,0.0,0.0,4.0,0.0,0.0,40.0,25.0,0.0,0.0,220.0,0.0,0.0,68.0,0.0,1310.0,0.0,0.0,1.24053099087667
33,7A06843            ,低合金    ,HRB400B    ,1667.0,0.00072,0.0011,0.00027,0.00017,0.0,70000.0,0.0024,0.013,0.00031,0.00024,0.0036,0.468,0.0017,0.006,0.017,,0.032,0.0049,0.0027,0.0029,0.0,,,,0.0,0.0,8.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,132.0,0.0,1.11398232617964
49,7A06821             ,低合金    ,HRB400B    ,1672.0,0.00077,0.0007,0.00024,0.00016,0.003,72300.0,0.0024,0.0134,0.00028,0.00024,0.0035,0.476,0.0023,0.005,0.011,,0.033,0.0057,0.0034,0.0027,0.0,,,,0.0,0.0,10.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1460.0,132.0,0.0,1.00243934680496
76,7A06794             ,低合金    ,HRB400B    ,1682.0,0.00067,0.001,0.00038,0.00013,0.002,70450.0,0.0023,0.0129,0.00034,0.0002,0.0035,0.457,0.0019,0.009,0.009,0.0,0.034,0.0064,0.004,0.0002,0.001,,,,0.0,0.0,10.0,0.0,0.0,30.0,25.0,0.0,0.0,300.0,0.0,0.0,51.0,1124.0,0.0,88.0,0.0,1.114669730386
78,7A06792             ,低合金    ,HRB400B    ,1689.0,0.00092,0.0012,0.00028,0.00027,0.002,75500.0,0.0024,0.0134,0.00028,0.00028,0.0033,0.475,0.0017,0.006,0.012,0.0,0.035,0.0058,0.0036,0.0,0.001,,,,0.0,0.0,11.0,0.0,0.0,32.0,0.0,0.0,0.0,300.0,0.0,0.0,51.0,0.0,1220.0,88.0,20.0,1.01695588497931
79,7A06791             ,低合金    ,HRB400B    ,1667.0,0.00069,0.001,0.00022,0.00016,0.002,77700.0,0.0023,0.0128,0.0003,0.00025,0.0033,0.454,0.0015,0.007,0.01,0.0,0.034,0.0051,0.0032,0.0,0.001,,,,0.0,0.0,11.0,0.0,0.0,32.0,25.0,0.0,0.0,300.0,0.0,0.0,68.0,1230.0,0.0,88.0,0.0,1.0277920216794
80,7A06790             ,低合金    ,HRB400B    ,1656.0,0.0004,0.0008,0.00029,0.00011,0.002,73600.0,0.0024,0.013,0.0003,0.00018,0.0034,0.468,0.0014,0.006,0.011,0.0,0.034,0.0053,0.0033,0.0003,0.001,,,,0.0,0.0,11.0,0.0,0.0,32.0,50.0,0.0,0.0,300.0,0.0,0.0,85.0,1226.0,0.0,88.0,0.0,1.06608415919881
81,7A06789             ,低合金    ,HRB400B    ,1647.0,0.00042,0.0008,0.00029,0.00016,0.003,74250.0,0.0023,0.0129,0.00032,0.00021,0.0035,0.457,0.0018,0.008,0.012,0.0,0.036,0.0056,0.0035,0.0015,0.001,,,,0.0,0.0,11.0,0.0,0.0,32.0,25.0,0.0,0.0,300.0,0.0,0.0,68.0,1252.0,0.0,88.0,0.0,1.14676312083626
90,7A06780             ,低合金    ,HRB400B    ,1670.0,0.0008,0.0011,0.00023,0.00017,0.003,74200.0,0.0024,0.0134,0.00027,0.00023,0.0037,0.475,0.0017,0.002,0.01,0.0,0.034,0.006,0.0037,0.0,0.001,,,,0.0,0.0,4.0,0.0,0.0,39.0,25.0,0.0,0.0,200.0,0.0,0.0,51.0,0.0,1300.0,132.0,0.0,1.0029488294452
115,7A06755             ,低合金    ,HRB400B    ,1672.0,0.001,0.0014,0.00025,0.0002,0.003,74250.0,0.0024,0.0134,0.00028,0.00027,0.0039,0.475,0.0019,0.004,0.009,,0.032,0.0081,0.0057,0.0025,0.0,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,34.0,1534.0,0.0,132.0,0.0,1.01345472835999
122,7A06748             ,低合金    ,HRB400B    ,1678.0,0.00033,0.0008,0.00029,0.00017,0.002,73500.0,0.0024,0.0132,0.00029,0.00025,0.0033,0.473,0.0021,0.005,0.014,,0.034,0.0048,0.0025,0.0035,0.0,,,,0.0,0.0,5.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1515.0,88.0,0.0,1.25865820566694
123,7A06747             ,低合金    ,HRB400B    ,1676.0,0.00039,0.0009,0.00026,0.00025,0.002,75200.0,0.0023,0.0135,0.00028,0.00031,0.0035,0.467,0.002,0.006,0.012,,0.033,0.0046,0.0024,0.0031,0.0,,,,0.0,0.0,5.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1600.0,88.0,0.0,1.02964440897401
128,7A06742             ,低合金    ,HRB400B    ,1703.0,0.0004,0.0012,0.00021,0.00029,0.002,73800.0,0.0023,0.0128,0.00023,0.00029,0.0037,0.456,0.0021,0.006,0.012,,0.035,0.0051,0.0028,0.0028,0.0,,,,0.0,0.0,5.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1500.0,132.0,0.0,1.0276603938863
177,7A06693             ,低合金    ,HRB400B    ,1666.0,0.00035,0.0009,0.00032,0.0002,0.003,74300.0,0.0024,0.013,0.00031,0.00025,0.0036,0.471,0.0026,0.007,0.017,,0.033,0.0038,0.0016,0.0037,0.0,,,,0.0,0.0,5.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1520.0,132.0,0.0,1.00512489467532
212,7A06658             ,低合金    ,HRB400D    ,1692.0,0.00063,0.0012,0.00035,0.00033,0.002,75400.0,0.0024,0.0132,0.00035,0.00033,0.0037,0.473,0.0027,0.005,0.018,0.0,0.03,0.0055,0.0034,0.0006,0.001,,,,0.0,0.0,9.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1503.0,88.0,20.0,1.22616036818033
215,7A06655             ,低合金    ,HRB400D    ,1672.0,0.00061,0.0011,0.00034,0.00028,0.002,78150.0,0.0022,0.0137,0.0003,0.00028,0.0037,0.465,0.0035,0.009,0.019,0.0,0.034,0.0077,0.0048,0.0058,0.002,,,,0.0,0.0,10.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1580.0,88.0,0.0,1.01402055077423
216,7A06654             ,低合金    ,HRB400D    ,1657.0,0.00084,0.0011,0.00023,0.00022,0.002,78600.0,0.0023,0.0137,0.00033,0.00032,0.0037,0.474,0.0031,0.006,0.021,0.0,0.034,0.0069,0.0043,0.0027,0.001,,,,0.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1581.0,88.0,0.0,1.08187237369295
232,7A06638             ,低合金    ,HRB500D    ,1659.0,0.00121,0.0011,0.00031,0.00021,0.002,243250.0,0.0022,0.0145,0.00031,0.00024,0.0046,0.488,0.0029,0.007,0.016,,0.085,0.0072,0.0045,0.0048,0.0027,,,0.0005,0.0,120.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,58.0,0.0,1530.0,0.0,0.0,2.89588364401132
239,7A06631             ,低合金    ,HRB500D    ,1632.0,0.00031,0.0006,0.00042,0.00017,0.003,69100.0,0.0022,0.0148,0.00033,0.00019,0.0049,0.491,0.0024,0.008,0.024,,0.083,0.008,0.005,0.0057,0.0017,,,0.0006,0.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,150.0,102.0,0.0,1600.0,0.0,0.0,1.00561078328638
242,7A06628             ,低合金    ,HRB500D    ,1632.0,0.0007,0.0007,0.00038,0.00016,0.002,73050.0,0.0023,0.0144,0.00036,0.00021,0.0047,0.495,0.0027,0.006,0.02,,0.082,0.0074,0.0046,0.0059,0.0027,,,0.0007,0.0,0.0,78.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,150.0,85.0,0.0,1600.0,0.0,0.0,1.03014476012358
263,7A06607             ,低合金    ,HRB400D    ,1663.0,0.00065,,0.00028,,0.002,71150.0,0.0023,0.0136,0.00034,0.00026,0.0035,0.47,0.0027,0.007,0.017,,0.032,0.0212,0.0187,0.0,0.001,,,,0.0,0.0,9.0,0.0,0.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1506.0,88.0,0.0,1.04086000260596
274,7A06596             ,低合金    ,HRB400D    ,1656.0,0.00039,,0.00036,,0.002,71750.0,0.0023,0.0131,0.00036,0.0003,0.0039,0.461,0.0025,0.006,0.016,,0.031,0.004,0.0018,0.0,0.0,,,,0.0,0.0,9.0,0.0,0.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1550.0,132.0,0.0,1.00313593573338
293,7A06577             ,低合金    ,HRB400D    ,1658.0,0.00045,,0.00028,,0.003,74050.0,0.0023,0.0133,0.00024,0.00029,0.0037,0.464,0.002,0.006,0.014,,0.032,0.0049,0.0026,0.0003,0.0,,,,0.0,0.0,30.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1550.0,132.0,0.0,1.87237718381364
316,7A06554             ,低合金    ,HRB400B    ,1656.0,0.00062,,0.00036,,0.003,70350.0,0.0024,0.0128,0.00028,0.00017,0.0035,0.464,0.0022,0.006,0.013,,0.035,0.0042,0.0019,0.0001,0.0,,,,0.0,0.0,0.0,0.0,0.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1490.0,88.0,0.0,1.01695636382504
318,7A06552             ,低合金    ,HRB400B    ,1680.0,0.00099,,0.00028,,0.003,73700.0,0.0024,0.013,0.00028,0.00021,0.0036,0.469,0.0019,0.006,0.014,,0.036,0.0084,0.006,0.0012,0.0,,,,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1472.0,88.0,20.0,1.04964613297678
323,7A06547             ,低合金    ,HRB400B    ,1656.0,0.00067,,0.00036,,0.002,74050.0,0.0023,0.0129,0.00036,0.00025,0.0036,0.458,0.0026,0.006,0.016,,0.035,0.0044,0.0022,0.0001,0.0,,,,0.0,0.0,0.0,0.0,0.0,49.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1490.0,88.0,0.0,1.23062774781164
324,7A06546             ,低合金    ,HRB400B    ,1677.0,0.00033,,0.00028,,0.002,74300.0,0.0024,0.013,0.00029,0.0002,0.0033,0.469,0.0021,0.008,0.017,,0.032,0.0036,0.0014,0.0006,0.0,,,,0.0,0.0,4.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1490.0,88.0,20.0,1.04569219589002
325,7A06545             ,低合金    ,HRB400B    ,1666.0,0.00062,,0.0003,,0.002,72300.0,0.0024,0.0135,0.00032,0.0003,0.0036,0.479,0.0031,0.007,0.017,,0.032,0.0053,0.003,0.0008,0.0,,,,0.0,0.0,5.0,0.0,0.0,42.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1593.0,88.0,0.0,1.06760460318628
332,7A06538             ,低合金    ,HRB400B    ,1677.0,0.00035,,0.00034,,0.002,74800.0,0.0024,0.0134,0.00038,0.00027,0.004,0.477,0.0027,0.009,0.019,,0.033,0.0045,0.0022,0.0,0.0,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,20.0,90.0,0.0,1450.0,132.0,0.0,1.25628884698652
338,7A06532             ,低合金    ,HRB400B    ,1677.0,0.00032,,0.00031,,0.002,75200.0,0.0024,0.0129,0.00032,0.00022,0.0035,0.467,0.0017,0.005,0.011,,0.034,0.0036,0.0014,0.0002,0.0,,,,0.0,0.0,0.0,0.0,0.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,1540.0,132.0,0.0,1.00040971942647
369,7A06501             ,低合金    ,HRB400B    ,1647.0,0.00073,,0.00031,,0.002,77850.0,0.0023,0.0133,0.00031,0.00023,0.0038,0.466,0.0026,0.008,0.018,0.0,0.035,0.0056,0.0035,0.0022,0.001,,,,48.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,68.0,0.0,1570.0,132.0,0.0,1.51945966514459
419,7A06451             ,低合金    ,HRB400B    ,1668.0,0.0009,,0.00024,,0.001,74500.0,0.0023,0.0132,0.00023,0.00021,0.0033,0.461,0.0016,0.004,0.011,,0.034,0.0043,0.0021,0.0,0.0,,,,14.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1563.0,88.0,20.0,1.0158603508267
424,7A06446             ,低合金    ,HRB400B    ,1670.0,0.00106,,0.00021,,0.002,74650.0,0.0022,0.0132,0.00028,0.0002,0.0035,0.452,0.0019,0.006,0.014,,0.035,0.0047,0.0025,0.0,0.0,,,,14.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1447.0,88.0,20.0,1.07441187356198
425,7A06445             ,低合金    ,HRB400B    ,1654.0,0.0004,,0.00029,,0.002,68400.0,0.0023,0.0135,0.00029,0.00026,0.0035,0.468,0.0024,0.006,0.016,,0.034,0.0045,0.0023,0.0,0.0,,,,15.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1499.0,88.0,0.0,1.00873803275938
429,7A06441             ,低合金    ,HRB400B    ,1662.0,0.00062,,0.00025,,0.001,68050.0,0.0023,0.0131,0.00027,0.00025,0.0033,0.461,0.0025,0.006,0.014,,0.034,0.0042,0.002,0.0,0.0,,,,16.0,0.0,0.0,0.0,0.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1599.0,88.0,20.0,2.53486079152304
444,7A06426             ,低合金    ,HRB400B    ,1694.0,0.00076,,0.00017,,0.002,70800.0,0.0022,0.0134,0.00024,0.00023,0.0038,0.457,0.0023,0.007,0.018,,0.036,0.0043,0.002,0.0002,0.0,,,,15.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1470.0,132.0,0.0,1.02955574182732
478,7A06392             ,低合金    ,HRB400B    ,1672.0,0.00054,,0.00031,,0.001,73550.0,0.0024,0.0138,0.0003,0.0003,0.0039,0.485,0.0029,0.006,0.016,,0.035,0.0046,0.0023,0.0011,0.0,,,,15.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1450.0,132.0,0.0,1.04463358165884
498,7A06372             ,低合金    ,HRB400B    ,1662.0,0.00072,,0.00033,,0.002,71450.0,0.0024,0.0128,0.00034,0.00034,0.0039,0.469,0.0033,0.006,0.016,,0.033,0.0045,0.0022,0.0021,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,200.0,0.0,0.0,54.0,0.0,1260.0,132.0,0.0,1.00134417600532
